MÚSICA,ARTISTA,URI,REGIÃO
Camisa do Grêmio,"['MC Meno K', 'DJ Neeh']",2rXIj8SkYrAWQ4Dn2oiupk,SÃO PAULO
Frutos,"['MC PH', 'Kyan']",0aThAcQRdEqXwlUAQT8Gto,SÃO PAULO
Sonhos,['Mc Kelvinho'],1SETLFmf0hBqv1qzHHmwZf,SÃO PAULO
Liberdade (Quando o Grave Bate Forte),"['Alok', 'Mc Don Juan', 'Dj GBR']",2QLbRVzixE282JSQjBz2DG,SÃO PAULO
Na Ponta do Pé 2,['Mc Livinho'],6G5z2fh5MfVErDCsJJKNwv,SÃO PAULO
Sexta Meu Celular Fica Sem Sinal,['Dj Guuga'],0KEQ21N1eQGZ6fjHTKqwZH,SÃO PAULO
Acabou a Água (feat. Mc Ygor Yanks),"['MC 3L', 'DJ J2', 'DJ PBeats']",7jFEykLSATTBHLCJXikHmD,SÃO PAULO
Bandida,['Pabllo Vittar'],2VFTgZwiAdrADSLrUNHWt9,SÃO PAULO
Poesia Acústica 10: Recomeçar,['Various Artists'],4pwFy4YPNGMxK2P2FfQfvt,SÃO PAULO
É Só Botada,"['MC Levin', 'Caverinha']",07c9lzwx1IIm101PnB4BZu,SÃO PAULO
Meu Corre,"['MC Caverinha', 'Djonga', 'Elenko Week']",0iTTbJikpkTpjn4FUwH9lW,SÃO PAULO
Faz a Pose,"['MC Teteu', 'MC Ks', 'Dj Serpinha']",1sTVKLLFDfAfowsG4bRBN4,SÃO PAULO
Cala A Boca Secador Palmeiras,"['Marlon Góes', 'Dá1zig']",3SSpWonqPv9wGwfjwbxAXl,SÃO PAULO
Esses Vícios,['Zé Neto & Cristiano'],2InUVOBY515umeuwdQtsQ4,SÃO PAULO
Sistema Obtuso,"['Criolo', 'Tropkillaz']",2IIWfrGNeZHvIoPeFXECRs,SÃO PAULO
Domingando - Ao Vivo,['Thiaguinho'],1DyuiZ9vg4VZUZjiPEJHoG,SÃO PAULO
Coração Na Cama,['Hugo & Guilherme'],2nZj5YymF54qhAu7RneVP6,SÃO PAULO
Super Ex - Ao Vivo,['Gusttavo Lima'],4sCgnIAtZWlMfY7h4h8dI0,SÃO PAULO
Separei,"['MC WM', 'Niack', ""MC's Jhowzinho & Kadinho""]",16uUeKOV7m51Vlx9oUIEvE,SÃO PAULO
Diretoria,['Various Artists'],7GZRAIZeUhexNB6dC147u1,SÃO PAULO
Hackearam-Me,"['Tierry', 'Marília Mendonça']",5NeBu4oKweDXIjhvYqtbLo,SÃO PAULO
