MÚSICA,ARTISTA,URI,REGIÃO
Ela É Debochada,['DJ Dentinho do Escadão'],4fTbLlFxDzSXuegk7ZU4L4,RIO DE JANEIRO
Pedaço de Mim,"['OIK', 'BIN', 'IssoQueÉSomDeRap']",2fEgPCDD0qRvZeVrY381EW,RIO DE JANEIRO
LARISSA,"['PEDRO SAMPAIO', 'Luan']",1wowgtxmcxyIDGkQ8S28gL,RIO DE JANEIRO
Radar,['Gloria Groove'],0V4LaOkdQm1sJwNerXcxMl,RIO DE JANEIRO
Castelo de um Quarto Só / Final de Tarde / Com Humildade / Abrigo - Live,['Vitor Limma'],0r1Sgomd5EzZGYTHDrWF8I,RIO DE JANEIRO
Era uma Vez,['Thiaguinho'],04dm57fsY83pu28krebOai,RIO DE JANEIRO
MODO TURBO,"['Luísa Sonza', 'Pabllo Vittar']",0YqTL3nSL36OFdHwHoqCag,RIO DE JANEIRO
Mina Mercenária (feat. DJ DN do Dick),['MC KA5'],55KtVVVPYEDAGbjYJ6eM10,RIO DE JANEIRO
Meia Noite (Ce Tem Meu Whatsapp) - Ao Vivo,['Os Barões Da Pisadinha'],7as7OL7cmgFZDADgVjQZjz,RIO DE JANEIRO
Metade de Mim,['Binho Simões'],3gXDhWJcxucafgb5rtFdiy,RIO DE JANEIRO
Possessiva,['Melim'],0VHeOC6yTULbu4hEm5q6sH,RIO DE JANEIRO
Jogar Pra Tropa,"['POCAH', 'DENNIS']",4QaBk5kZX6kpTHM2AZiM4q,RIO DE JANEIRO
360,"['LUCK MUZIK', 'MC Mirella', 'Rennan da Penha']",5WzKvIMbCRZn3epiBxrYig,RIO DE JANEIRO
The Box Medley,"['THE BOX', 'Bruxo 021', 'Martelin']",3x5kMjAkFbjEtL1aB7LvZd,RIO DE JANEIRO
Camisa do Flamengo,"['MC Meno K', 'DJ 2L da Rocinha']",7AjPEsSw5XH8Prczu0ADY6,RIO DE JANEIRO
Ida e volta,['Suel'],6jSwfkOV4LYjsLpdEK7FdJ,RIO DE JANEIRO
Hitzão da Porra,['Mc Rebecca'],6WIP2ysmvfkPyAc4c2bD6O,RIO DE JANEIRO
Babalu - Remix,['MC Kevin o Chris'],0DZ5OCPdJaQeXh0Lsz6c9y,RIO DE JANEIRO
Pode Entrar,['Quinteto S.A.'],0GqK4jUi9eLlkntJXMeLaV,RIO DE JANEIRO
"Seu Gostoso, Rebola e Joga (feat. Mc Ká de Paris, Dj Novinho do Jaca & DJ Lula do Jaca)",['Mc Juninho FSF'],7bXYz8VjWW5xKFY4fAkJ6U,RIO DE JANEIRO
Chato Pa Carai / Recaída / Vai Me Dando Corda / Salseiro / Ninguém É Dono de Ninguém - Ao Vivo,"['Vou Zuar', 'Grupo Menos É Mais']",7pK4HfptJem9oBME3QDXYm,RIO DE JANEIRO
Já Tentei - Ao Vivo,['Vou pro Sereno'],6JIhgAuKTkKsvJkFUGmoRU,RIO DE JANEIRO
Tudo Menos Isso,['Pixote'],0dxIWFmv5qPhYIEXJ2wFSx,RIO DE JANEIRO
Swing Sinistrão - Ao Vivo,['Bom Gosto'],0fme3Ol1Jdf86JUVeEYjqt,RIO DE JANEIRO
Bandida,['Pabllo Vittar'],2VFTgZwiAdrADSLrUNHWt9,RIO DE JANEIRO
Já Não Dá,['Fabinho'],2kK0zpbk5TdHFny3hxadyK,RIO DE JANEIRO
Ainda,['MC Cabelinho'],6HBVjJrwAIfj6sXMymSn4k,RIO DE JANEIRO
Tô Achando Que É Amor,['Péricles'],6wxA0qL1H72IMbqCgdkK6R,RIO DE JANEIRO
Marra de Durão,['Grupo Clareou'],7g1HOdrkEpyX039t4jdL9P,RIO DE JANEIRO
Princesinha - Ao Vivo,['Di Propósito'],1NT60UCx5DulzPxw3OyXOb,RIO DE JANEIRO
Nega - Ao Vivo,['Caju Pra Baixo'],2upDHxlxx8xFks4I0yOQE8,RIO DE JANEIRO
M4,['Teto'],07AQkmp456NpEnT8HR7WLy,RIO DE JANEIRO
Dorme Com Deus - Ao Vivo,['Tá Na Mente'],29x19EWLWMB1sn8WD5iynZ,RIO DE JANEIRO
Faixa Rosa,['Azzy'],1DoaY4rjTCk5cUEUTU2pq3,RIO DE JANEIRO
Sensualize (EAZY),['Mc Zaac'],5mqK5MhiUVFTBbfBHjfBPw,RIO DE JANEIRO
Reticências - Ao Vivo,['Guga Nandes'],4ilNUCeaT6nPcitiNSB6A0,RIO DE JANEIRO
Vida de Rei,['Tz da Coronel'],7dTWdIfi4ywqquu0aJCrad,RIO DE JANEIRO
Quebrar Seu Coração (feat. Luísa Sonza),['Lexa'],3K9ruAxOYy8PDRHz85He2T,RIO DE JANEIRO
Só Pitbull de Raça,"['MC Dukenny', 'Dj Samrio']",1fGlELJhiiYOCel2ihF4uP,RIO DE JANEIRO
762,['Bruxo 021'],3uU0AKrbDe5dPor1JmyRTp,RIO DE JANEIRO
Quarto Andar,"['As Baías', 'Luísa Sonza']",36c4HvLO5dSENBlR6raezH,RIO DE JANEIRO
Bebe e Vem Me Procurar / Quem Ama Sente Saudade (Ao Vivo),"['Turma do Pagode', 'Grupo Menos É Mais']",5A4DlgM68SnFSKImnMeiUH,RIO DE JANEIRO
Set Dj Br da Tijuca,"['BR DA TIJUCA', 'Felp 22', 'Mc Th']",3ezOMmQ3UYhyp6kRlDV5Gq,RIO DE JANEIRO
Máquina do Tempo,['Matuê'],5oI9blwsXC8AkTWw6wASY8,RIO DE JANEIRO
Misturados - Ao Vivo,['Dilsinho'],11YmUhvzX9My9Ey0gz2kRq,RIO DE JANEIRO
Camisa de Força,['Chininha'],71CvQR1JA3Dp18s2aUu7Ir,RIO DE JANEIRO
Meia Noite (Você tem meu Whatsapp),['Tarcísio do Acordeon'],6sPBi0qLI6KM3yXX56NxsA,RIO DE JANEIRO
Amante - Acústico,['Maquiny'],0EyHV5Vv9WiwqgtPJLq4al,RIO DE JANEIRO
Noite das Safadas,['Mc Thay RJ'],7MzrIZwgEyxTR80QLrzqvm,RIO DE JANEIRO
Por Causa Dela,['Pk'],7CeCZwsaawd43ciZYgypJZ,RIO DE JANEIRO
Xeque-Mate (feat. Paiva Prod),"['IGOR', 'Hyperanhas', 'Pedro Lotto']",2Se6ItuMZiqQ2jZkwXzOO6,RIO DE JANEIRO
Caçando Tesouro,"['A Banca Records', 'Pk', 'Orochi']",4RC7vpeUYzx6kChixUpTNs,RIO DE JANEIRO
CALIFORNIA / Citação: De Repente California,['Vitão'],2NqnAaUTmSl7JqYysspvfl,RIO DE JANEIRO
Preto de Gueto,"['Borges', 'Mainstreet']",3tQNUzUTGK0i8IBFQZ30Nv,RIO DE JANEIRO
Não Rolou,['Thiago Martins'],77gLLB7oMENehOFxIUfe3w,RIO DE JANEIRO
Ajoelha e Chora,['Grupo Sem Abuso'],660rHBxt0Dhb12raekVEDe,RIO DE JANEIRO
É o Que Eu Mereço,['Belo'],1iAlmiS4rsofp7zTx1LhCY,RIO DE JANEIRO
Não Volto Atrás,"['Gaab', 'Dilsinho']",3yP5tFW7SH59VwjLqp1Fk5,RIO DE JANEIRO
Dentro de Você,"['Filipe Ret', 'MC Kevin o Chris']",15kW9fqlnorhFhzJosKu0F,RIO DE JANEIRO
Troca de Calçada,['Marília Mendonça'],4AAIAVjSyiq1N7SXKkwXZe,RIO DE JANEIRO
Do Crime ao Funk,"['Bielzin', 'Mc Poze do Rodo', 'Mãolee']",2RTYc5fDW0QyiqtxeR6Ajz,RIO DE JANEIRO
Essa mina,"['KT Gomez', 'Sensei Songs']",19jLa3Buposa59mlSCnUQ4,RIO DE JANEIRO
"Ele É Ele, Eu Sou Eu",['Wesley Safadão'],7EWXP47VlXKO3r7mNxuWHw,RIO DE JANEIRO
Insegurança Zero - A Mãe Tá On,['Karinah'],0RXM4Hf0dQqN4Nei6kZyeb,RIO DE JANEIRO
Amor ou o Litrão,"['Petter Ferraz', 'Menor Nico']",7qmnP8Woc47dLSrMD5MxL1,RIO DE JANEIRO
Cali Dreams (feat. The Beach),"['Vintage Culture', 'Fancy Inc', 'The Beach']",4S5uBAB6Jl4IsMzwBpt2Rf,RIO DE JANEIRO
SEM LIMITES,['WC no Beat'],3JZwQT1rIxU3wdtF7eneee,RIO DE JANEIRO
Acima da Média - Ao Vivo,['Sudario'],7nRET1piXhIZwfx4YR1xBu,RIO DE JANEIRO
Bota Pra Tocar Tim Maia,['Diogo Nogueira'],0qijcGA688RH4Ef544PuqI,RIO DE JANEIRO
Inoperante - Ao Vivo,['Tiee'],2LmFOl8Yd6tl6uzLxHWTfd,RIO DE JANEIRO
Amor ou o Litrão - Brega Funk,"['Mila', 'Petter Ferraz', 'Menor Nico']",4WcskbAX3wImaennFI79Ll,RIO DE JANEIRO
Elas gosta assim,['DJ Ws da Igrejinha'],2Ce6nvePtphYrkgK7QtFL6,BELO HORIZONTE
"Bandido de 18 2,0",['MC Saci'],2dFvHYMpCToOXEejM5Twbl,BELO HORIZONTE
Bandido de 18,['Dj Gui Marques'],0IRBVF2qauNWatsUcrXpJp,BELO HORIZONTE
Dorzinha Boa,['Julia Avelin'],6pKryJcaJGMZWgDjdqKp2j,BELO HORIZONTE
Quem Ama Bloqueia,['MC Rick'],5PaS0Kb9u2zhDGeKOUGvXG,BELO HORIZONTE
Mega Do Trava 04-Fica De 4Menina,['Dj Wesley Gonzaga'],6zcpFvsw5Czh7GRdfAmchx,BELO HORIZONTE
Rebola Lentinho,"['Mc Kaio', 'MC Rick']",3bcJIkPhkmoiF31lcHZ96t,BELO HORIZONTE
Degustar,"['MC Vitin LC', 'DJ Swat']",2k9vmCz8LOVPjk7bBuesbZ,BELO HORIZONTE
Joga no Lomotif,"['Mc Tolent', 'DJ KIK PROD']",3RIF08Qa79GdQ1qeAIN37d,BELO HORIZONTE
Gostosa,"['MC Luan da BS', 'MC Rick']",3KCCh1d8BqlSuAxcrNrzAt,BELO HORIZONTE
Vida Do Crime 002,['Dj Tg Da Inestan'],3t1ZG5PN5pmQQ8OCMirkDb,BELO HORIZONTE
Tanto Faz,"['MC L da Vinte', 'Mc Kaio']",4iEGCa4JYv16aSp05SxXwn,BELO HORIZONTE
Balada do Buteco - Ao Vivo,['Gusttavo Lima'],1x0Uv7gDZfx6jhb4IN4DIx,BELO HORIZONTE
Mega Doug #02,"['DJ KIK PROD', 'MC Saci', 'MC Vitin LC']",6HrIKxOGOXkLBxAPVMLFuc,BELO HORIZONTE
Esquece de Me Esquecer,"['Zé Felipe', 'Gusttavo Lima']",1NXeltgzjQeiC4hbf2XNVr,BELO HORIZONTE
Esquema Preferido - Ao Vivo,['Os Barões Da Pisadinha'],35qOGx1CWvCkQFOv4BkVIV,BELO HORIZONTE
Conversa Fiada,['Lamparina e A Primavera'],6r4NNOFLKjjsqdK6fq4qoY,BELO HORIZONTE
Ela É um Perigo,['Mc DB'],1C22MPsBUPrg6bttSLWx6y,BELO HORIZONTE
Paradigmas,['Jorge & Mateus'],158ukl5rih76dOEsp0I91H,BELO HORIZONTE
Bh no Topo 5,"['Mc Anjim', 'MC Rick', 'MC Saci']",51GAnsZ7i3XzCcLRq06KHR,BELO HORIZONTE
Mega dos Canalha,"['Dj Veras', 'MC Saci']",2Hp5jaSUXNIY08v3dQmnpl,BELO HORIZONTE
Mega das Blogueiras,['Various Artists'],0Oq7iEhC6hL4tHsd0z1RTK,BELO HORIZONTE
Me Toca,['Marina Sena'],2uSeVS09DW8FnBgc61eHDW,BELO HORIZONTE
De Kenner,"['FBC', 'VHOOR']",6mbCl4KA5Sn61Oya0v8tJX,BELO HORIZONTE
MUSA DO INVERNO,['Lagum'],4dyAtcaBVmMmnR5bwg3u50,BELO HORIZONTE
Conteúdo Adulto,['Dj Dg Do Rb'],1WMHu9DICyouJntRUyjC4m,BELO HORIZONTE
Sai Da Fila,['Dj Vitin do Pc'],7pI4oWMztwNv1LCEEV4HjA,BELO HORIZONTE
Ô Moça,['MC Zaquin'],1mQOFRDoqI34LdN79PE0vH,BELO HORIZONTE
Troca de Calçada,['Marília Mendonça'],4AAIAVjSyiq1N7SXKkwXZe,BELO HORIZONTE
Só de Sacanagem - Ao Vivo,['Israel & Rodolffo'],40zJaB3z53PGaxIkYyieBP,BELO HORIZONTE
Set Dj Cayoo,['Various Artists'],0UHKHEwM51d8mbugnEdf3N,BELO HORIZONTE
Buzina - Ao Vivo,['Diego & Victor Hugo'],0yOYdil5IO9tW7wraM9C3r,BELO HORIZONTE
Catucadão,"['MC Braian', 'MC Vitin LC', 'DJ Swat']",6ZjLYU3UBNPn1hi8pIW1OX,BELO HORIZONTE
Coração Na Cama,['Hugo & Guilherme'],2nZj5YymF54qhAu7RneVP6,BELO HORIZONTE
Volta Marcada,"['Avine Vinny', 'Japinha Conde']",75CS36Nn8aetRR5eksZMbB,BELO HORIZONTE
Meia Noite (Você tem meu Whatsapp),['Tarcísio do Acordeon'],6sPBi0qLI6KM3yXX56NxsA,BELO HORIZONTE
Oclin e Evoque,"['Tropa do Bruxo', 'Djonga', 'MC Rick']",3PnDIGbfmswMaxX386zp3X,BELO HORIZONTE
Mega anos 80 Beco da Maria,['Os Gemeos da Putaria'],4GPMYWjY3Xllk1F6E5vYuV,BELO HORIZONTE
Último Beijo,"['Bruno & Marrone', 'Wesley Safadão']",2pBEAodCImE4LgbKAG4bfz,BELO HORIZONTE
Cali Dreams (feat. The Beach),"['Vintage Culture', 'Fancy Inc', 'The Beach']",4S5uBAB6Jl4IsMzwBpt2Rf,BELO HORIZONTE
Um Brinde pra Nós,"['Hungria Hip Hop', 'Mc Lipi', 'Dj GM']",2B7EEPMfJWOG7VWpCkBtZy,BELO HORIZONTE
"Ele É Ele, Eu Sou Eu",['Wesley Safadão'],7EWXP47VlXKO3r7mNxuWHw,BELO HORIZONTE
Louco e Sonhador,['MC Neguinho do Kaxeta'],6hdBsNsVESpjbnVClbUa3y,BELO HORIZONTE
Isca,"['Jonas Esticado', 'Wesley Safadão']",5zdIuIo9uQ2E8ly4rypcRi,BELO HORIZONTE
Camisa do Flamengo,"['MC Meno K', 'DJ 2L da Rocinha']",7AjPEsSw5XH8Prczu0ADY6,BELO HORIZONTE
Esquema Preferido,['DJ Ivis'],27X3qzgB0Show6qfw5wNOK,BELO HORIZONTE
Mega da A2M,['Various Artists'],7KXmcR2d56JcUiCfuDMiXK,BELO HORIZONTE
Tú Já Sabe O Macete,['Dj Rayan'],2BS3ERbu0wMUcqwtK3Vvtl,BELO HORIZONTE
Esses Vícios,['Zé Neto & Cristiano'],2InUVOBY515umeuwdQtsQ4,BELO HORIZONTE
Você Não é de Bar - Ao Vivo,"['Fernando & Sorocaba', 'Guilherme & Benuto']",5KFEB8X5Xmpmsv5j8rHjML,BELO HORIZONTE
FALA MAL DE MIM,"['PEDRO SAMPAIO', 'Daniel Caon', 'Wesley Safadão']",5glMxRMRHGBRj6bydBjoPM,BELO HORIZONTE
Ex de Alguém - Ao Vivo,['Rayane & Rafaela'],1RgGlhBrccCM63CjvfXaR7,BELO HORIZONTE
Mtg - Vem Sentando Vem (feat. Dj Nbeat) - Remix,"['MC 2jhow', 'MC Fahah', 'Mc Rennan']",2Xgc216OMnc9PyUalpaSPc,BELO HORIZONTE
Ilusão (Cracolândia),"['MC Hariel', 'Alok', 'MC Ryan SP']",6WXglvTFRmjlHHhgjYMNif,BELO HORIZONTE
Camisa Preta,['Guilherme & Benuto'],29Ctas4IXYei0t9fGnnxgU,BELO HORIZONTE
Deixa de Onda (Porra Nenhuma),"['DENNIS', 'Xamã', 'Ludmilla']",0DlHQxrVijRqVUfuS6PKaY,BELO HORIZONTE
Acertou na Mosca,['Tierry'],0SlCt3S4bEGUPo07yZIlQP,BELO HORIZONTE
Um Dia de Você e Eu,"['Montenegro', 'Jorge']",6nif74PCtvUn1DA9CEmHCp,BELO HORIZONTE
Branca de Neve,"['Mc Mika', 'Dj Wesley Gonzaga']",5QEQIXcLHsr0QRBXHLwSOg,BELO HORIZONTE
MODO TURBO,"['Luísa Sonza', 'Pabllo Vittar']",0YqTL3nSL36OFdHwHoqCag,BELO HORIZONTE
Chega,['Eduardo Costa'],4wnT3npoGSR376SvVWlq6Q,BELO HORIZONTE
Mega do Crazy,['Dj Nattan'],3h6tKI86wfmU0OsmaqDx1Z,BELO HORIZONTE
Nega Chegando,"['O Boy da Seresta', 'Menor Nico']",5XyDFMwY1NTIlkbzcfVyl3,BELO HORIZONTE
Amor ou o Litrão,"['Petter Ferraz', 'Menor Nico']",7qmnP8Woc47dLSrMD5MxL1,BELO HORIZONTE
O Golpe Tá Aí,"['MC Matheuzinho', 'Menor Nico']",5Y3ItQ4r4sgw0KvHxP9sbt,BELO HORIZONTE
Razão das Minhas Biritas,['Luíza & Maurílio'],3qqfukkcLElVkOWFyzHmSk,BELO HORIZONTE
Pouca Roupa - Ao Vivo,['Ícaro e Gilmar'],2nOGBQxPrhZfbPtuSXozuI,BELO HORIZONTE
Rainha da Favela,['Ludmilla'],3vu864xi5Xis9VfOsJpmXu,BELO HORIZONTE
Escolhe,['João Gabriel'],72HFjOzjkXnOc37fAlmXNB,BELO HORIZONTE
Acredita,"['MC Paulin da Capital', 'Dj GM']",3QLk7GwoJ1k08idUqahbBl,BELO HORIZONTE
Quer Esquecer sua Ex Mulher Vem Pro Cabaré,"['Nêgo Jhá', 'Mc Pierre', 'Dj Guuga']",3xBYCXi1LBsQPGE08M3iAP,BELO HORIZONTE
Amor ou o Litrão - Brega Funk,"['Mila', 'Petter Ferraz', 'Menor Nico']",4WcskbAX3wImaennFI79Ll,BELO HORIZONTE
Eu Vou Tirar Você do Cabaré,['Israell Muniz'],7IvxwaADtpY4PQB11yt9oF,BELO HORIZONTE
Senta Concentrada,"['MC Mari', 'MC Ws']",67zBVbq2krO4rNo6bY6Qzg,BELO HORIZONTE
Para Raio - Ao Vivo,['Diego & Arnaldo'],4DrqASok6iWYIhkPxrw7u9,BELO HORIZONTE
Atriz Pornô,"['Sidoka', 'MC Rick']",59furQuaJLHvc8tfAvJHHi,BELO HORIZONTE
Ouvindo Marília,"['MC Junin RD', 'Mc Julim']",02Thsb1l2si0Wanro6a1gV,BELO HORIZONTE
Made In Coração - Ao Vivo,['Matheus Gabriel'],1Y336S16A8sj8OwGCYmXKh,BELO HORIZONTE
Prints,['Gabi Martins'],7x9kGxiyFxQjMZYbzw1yMx,BELO HORIZONTE
Marca de Batom - Ao Vivo,['André Luiz & Gustavo'],2277cHOe26axpDb8AifqIr,BELO HORIZONTE
Tudo Indica (feat. Jorge & Mateus) - Ao Vivo,['Marcos & Belutti'],0eoMMLrWtXbLk64baeESkc,BELO HORIZONTE
União Dos Djs,['Dj Ph Da Serra'],2OFQaR9BOqLt0kmlMwaAY2,BELO HORIZONTE
Da Cama Pro Coração,"['Ciro Netto e Manuel', 'Guilherme & Benuto']",7lc3EORoGIEpQmZPMeoQKg,BELO HORIZONTE
4G,['Max e Luan'],0Xyai3VqkT2sujXvF58zDQ,BELO HORIZONTE
Vou Valendo - Ao Vivo,['George Henrique & Rodrigo'],4OujRBkm3MgW8GzdGkefbW,BELO HORIZONTE
M4,['Teto'],07AQkmp456NpEnT8HR7WLy,BELO HORIZONTE
Voando Alto,"['Pacificadores', 'Hungria Hip Hop']",0icMH5J8ZzboYQm56kVVjC,BELO HORIZONTE
Crédito,['João Gustavo e Murilo'],75XkdiDbE77G7avTZnEDLB,BELO HORIZONTE
Letícia,['Zé Vaqueiro'],2R1OgezGfBMeiAcMpJ1EkH,BELO HORIZONTE
Elas Gostam de Gasolina - Ao Vivo,['Anderson & Vei da Pisadinha'],3tkEf7vw4zDBFAQxY1vdcv,BELO HORIZONTE
Tapão Na Raba,['Raí Saia Rodada'],58pgi1RpcU2fVJsxhm7BIr,BELO HORIZONTE
Bruninha (feat. Tierry),['MC Kevinho'],6vieZYXc6xJ1hY1SxRNpYd,BELO HORIZONTE
Faz a Pose,"['MC Teteu', 'MC Ks', 'Dj Serpinha']",1sTVKLLFDfAfowsG4bRBN4,BELO HORIZONTE
É Só Botada,"['MC Levin', 'Caverinha']",07c9lzwx1IIm101PnB4BZu,BELO HORIZONTE
A Roça Venceu,['Antony & Gabriel'],45vmdvdyhA8zTffT9TqB6M,BELO HORIZONTE
Poesia Acústica 10: Recomeçar,['Various Artists'],4pwFy4YPNGMxK2P2FfQfvt,BELO HORIZONTE
Vai Tomando Foguenta,['MC Yuri'],3SwHWvT7Uze9CqI5LJowv5,BELO HORIZONTE
Não Me Negue,['Allana Macedo'],67I9GYwgsDUPiyzlgd6XSz,BELO HORIZONTE
Natalia,['Enzo Rabelo'],2Dk23qo2rzJlO8mlKWsbbd,BELO HORIZONTE
Tá Faltando Eu,"['Luan Estilizado', 'Jerry Smith']",4M5cQfczdKFxPdfS8oKrLJ,BELO HORIZONTE
Raparigagem,['Paulo Pires'],0rRP8iS0h0R8V4EckG5lkp,BRASÍLIA
Amor de Boate - Ao Vivo,['Dan Lellis'],0LzNTuFzFEhTD7Y0EJP2QB,BRASÍLIA
Mylena,['MC Bruno da BZC'],2xe1rmi66VoZh2htUyVj9N,BRASÍLIA
Maior Sofredor - Ao Vivo,['Israel & Rodolffo'],6IcBoMgMxzZHQMZwgbsxC8,BRASÍLIA
Vou Beber Tentando,['Dalmi Junior'],5bDJQgHakMzovvGeIlpe6O,BRASÍLIA
American Pie,"['MC Guguzinho', 'DJ WS']",4SsQFKbcER8LQQVKB6ygGq,BRASÍLIA
Status,['Jansen'],78CqAW1jikQWizEN594dC3,BRASÍLIA
Jogo da Vida,['Pacificadores'],08aK6kcLRR8y09G2q3YYtP,BRASÍLIA
Opala 71 Azul,['Tropa de Elite'],4GEWVs7rCGOsrBtwRGRuwe,BRASÍLIA
Hit do Ano,['Jorge & Mateus'],77thl1ZG6v86i7us2LztP8,BRASÍLIA
Sentada Braba,['Neto LX'],5dMnHbkawBvPQu5QvZsRav,BRASÍLIA
Brilhando pra Sempre,['Rachmemo'],6xQKtcKSWC93lOyRwrMPcM,BRASÍLIA
Super Ex - Ao Vivo,['Gusttavo Lima'],4sCgnIAtZWlMfY7h4h8dI0,BRASÍLIA
Esquece de Me Esquecer,"['Zé Felipe', 'Gusttavo Lima']",1NXeltgzjQeiC4hbf2XNVr,BRASÍLIA
Buzina - Ao Vivo,['Diego & Victor Hugo'],0yOYdil5IO9tW7wraM9C3r,BRASÍLIA
Um Brinde pra Nós,"['Hungria Hip Hop', 'Mc Lipi', 'Dj GM']",2B7EEPMfJWOG7VWpCkBtZy,BRASÍLIA
Esquema Preferido - Ao Vivo,['Os Barões Da Pisadinha'],35qOGx1CWvCkQFOv4BkVIV,BRASÍLIA
Troca de Calçada,['Marília Mendonça'],4AAIAVjSyiq1N7SXKkwXZe,BRASÍLIA
Furacão de Ninar,['Tribo da Periferia'],4EKO1fU1ffnj5hvwba5tqf,BRASÍLIA
Obsessão,"['Tarcísio do Acordeon', 'Xand Avião']",45VwBKT35ADQXaD1tZ6KXw,BRASÍLIA
Pare Com Isso,['Hugo & Guilherme'],4jXMQ5uwhD0y1O6eNWGbR6,BRASÍLIA
Tapão Na Raba,['Raí Saia Rodada'],58pgi1RpcU2fVJsxhm7BIr,BRASÍLIA
Boca Rosa,"['Mc Vittin PV', 'DJ Swat']",1IDd3GbBn1en5ydr6y6LoZ,BRASÍLIA
Vulnerável,['Guilherme & Benuto'],2IjoWKr94wfZ68TzQee4X6,BRASÍLIA
Isca,"['Jonas Esticado', 'Wesley Safadão']",5zdIuIo9uQ2E8ly4rypcRi,BRASÍLIA
Volta Marcada,"['Avine Vinny', 'Japinha Conde']",75CS36Nn8aetRR5eksZMbB,BRASÍLIA
Cê Tá Preparada - Ao Vivo,['Tayrone'],2CYNz1k93hhq1TLDkkh4jo,BRASÍLIA
Estilo Dub,"['Lupper', 'ÉaBest']",2rF61wkbm5OqiCVhvYSkdU,BRASÍLIA
Tá Apaixonado Babaca,['Biu do Piseiro'],71AFrAKw1FLNJ7OQVwKggB,BRASÍLIA
Esquema Preferido,['DJ Ivis'],27X3qzgB0Show6qfw5wNOK,BRASÍLIA
Eu Vou Tirar Você do Cabaré,['Israell Muniz'],7IvxwaADtpY4PQB11yt9oF,BRASÍLIA
Cali Dreams (feat. The Beach),"['Vintage Culture', 'Fancy Inc', 'The Beach']",4S5uBAB6Jl4IsMzwBpt2Rf,BRASÍLIA
Meia Noite,['Zé Vaqueiro'],2ylAocQwOgzelMbW9KJL56,BRASÍLIA
Ela Aperta a Minha Mente,['Xand Avião'],1T3hcBQRwacjWLuJJFt8co,BRASÍLIA
Último Beijo,"['Bruno & Marrone', 'Wesley Safadão']",2pBEAodCImE4LgbKAG4bfz,BRASÍLIA
Acertou na Mosca,['Tierry'],0SlCt3S4bEGUPo07yZIlQP,BRASÍLIA
4G,['Max e Luan'],0Xyai3VqkT2sujXvF58zDQ,BRASÍLIA
Nega Chegando,"['O Boy da Seresta', 'Menor Nico']",5XyDFMwY1NTIlkbzcfVyl3,BRASÍLIA
"Ele É Ele, Eu Sou Eu",['Wesley Safadão'],7EWXP47VlXKO3r7mNxuWHw,BRASÍLIA
Um Dia de Você e Eu,"['Montenegro', 'Jorge']",6nif74PCtvUn1DA9CEmHCp,BRASÍLIA
Roxinho,['Vitor Fernandes'],0ItJvt7npJ3Mw9mefto5Sn,BRASÍLIA
Esses Vícios,['Zé Neto & Cristiano'],2InUVOBY515umeuwdQtsQ4,BRASÍLIA
218,['Zpec'],2S7sUNmg3aMKKFoQl3MKpd,BRASÍLIA
FALA MAL DE MIM,"['PEDRO SAMPAIO', 'Daniel Caon', 'Wesley Safadão']",5glMxRMRHGBRj6bydBjoPM,BRASÍLIA
Tira um Tempo Pra Ela - Ao Vivo,['Ícaro e Gilmar'],0WT6xcCmFY7dHY1wPqqFTS,BRASÍLIA
Morena,['Cavaleiros do Forró'],1NwfsZ9RW0Iq16RpxKIUXU,BRASÍLIA
Razão das Minhas Biritas,['Luíza & Maurílio'],3qqfukkcLElVkOWFyzHmSk,BRASÍLIA
Último Pedido,['Os Parazim'],0efaXmYra0ajRvgp1iyDH3,BRASÍLIA
Beijo das Galáxias,"['Eric Land', 'Wesley Safadão']",4z1hlWTFVq9ftrcCxxvcwt,BRASÍLIA
Bebo da Branca (feat. Hugo & Guilherme),['Mariana Fagundes'],7CSJkSY14xd8dtQMc1zeop,BRASÍLIA
Desce Deslizando,"['Lucas Boquinha', 'Eric Land']",3pAmu2snfRsk8tyGx5WtEb,BRASÍLIA
Nem Vá,"['Matheus Fernandes', 'Zé Neto & Cristiano']",3MM4J90BLKgagDOMSt5wKM,BRASÍLIA
Fora da Lei,['Zero 61'],6z39edfnIggvXkglkWz3NS,BRASÍLIA
Da Cama Pro Coração,"['Ciro Netto e Manuel', 'Guilherme & Benuto']",7lc3EORoGIEpQmZPMeoQKg,BRASÍLIA
Sabadou,['Pisadinha De Luxo'],4YSmU8TOdkTQXJuSqBPt4Y,BRASÍLIA
Não Te Quero,['NATTAN'],3rnso1KNGrkXfqNTlBXdPH,BRASÍLIA
Você Não é de Bar - Ao Vivo,"['Fernando & Sorocaba', 'Guilherme & Benuto']",5KFEB8X5Xmpmsv5j8rHjML,BRASÍLIA
Tô na Promoção,['Felipe Salles'],5t218RU3PGlAjQbAAk3UHW,BRASÍLIA
Quer Esquecer sua Ex Mulher Vem Pro Cabaré,"['Nêgo Jhá', 'Mc Pierre', 'Dj Guuga']",3xBYCXi1LBsQPGE08M3iAP,BRASÍLIA
Prints,['Gabi Martins'],7x9kGxiyFxQjMZYbzw1yMx,BRASÍLIA
Ex de Alguém - Ao Vivo,['Rayane & Rafaela'],1RgGlhBrccCM63CjvfXaR7,BRASÍLIA
Senta Concentrada,"['MC Mari', 'MC Ws']",67zBVbq2krO4rNo6bY6Qzg,BRASÍLIA
